sg,pl
time,times
year,years
people,peoples
way,ways
man,men
day,days
thing,things
child,children
government,governments
part,parts
life,lives
case,cases
woman,women
work,works
system,systems
group,groups
number,numbers
world,worlds
course,courses
company,companies
problem,problems
service,services
hand,hands
party,parties
school,schools
place,places
point,points
house,houses
country,countries
week,weeks
member,members
end,ends
word,words
example,examples
family,families
fact,facts
state,states
percent,percents
home,homes
month,months
side,sides
night,nights
head,heads
information,informations
question,questions
business,businesses
power,powers
change,changes
interest,interests
order,orders
book,books
development,developments
room,rooms
water,waters
form,forms
other,others
level,levels
policy,policies
council,councils
line,lines
need,needs
effect,effects
use,uses
idea,ideas
study,studies
lot,lots
job,jobs
name,names
result,results
body,bodies
friend,friends
right,rights
authority,authorities
view,views
report,reports
bit,bits
face,faces
market,markets
hour,hours
rate,rates
law,laws
door,doors
court,courts
office,offices
reason,reasons
minister,ministers
subject,subjects
term,terms
sort,sorts
period,periods
society,societies
process,processes
mother,mothers
voice,voices
police,police
kind,kinds
price,prices
action,actions
issue,issues
position,positions
cost,costs
matter,matters
community,communities
figure,figures
type,types
research,researches
education,educations
programme,programmes
minute,minutes
moment,moments
girl,girls
age,ages
centre,centres
control,controls
value,values
health,healths
decision,decisions
class,classes
industry,industries
back,backs
force,forces
condition,conditions
paper,papers
century,centuries
father,fathers
section,sections
patient,patients
activity,activities
road,roads
table,tables
church,churches
mind,minds
team,teams
experience,experiences
death,deaths
act,acts
sense,senses
student,students
language,languages
department,departments
management,managements
morning,mornings
plan,plans
product,products
city,cities
committee,committees
ground,grounds
letter,letters
evidence,evidences
foot,feet
boy,boys
game,games
food,foods
role,roles
practice,practices
bank,banks
support,supports
event,events
building,buildings
range,ranges
stage,stages
meeting,meetings
town,towns
art,arts
club,clubs
arm,arms
history,histories
parent,parents
land,lands
trade,trades
situation,situations
teacher,teachers
record,records
manager,managers
relation,relations
field,fields
window,windows
account,accounts
difference,differences
material,materials
air,airs
wife,wives
project,projects
sale,sales
relationship,relationships
light,lights
care,cares
rule,rules
story,stories
quality,qualities
worker,workers
nature,natures
structure,structures
pound,pounds
method,methods
unit,units
bed,beds
union,unions
movement,movements
board,boards
detail,details
model,models
wall,walls
computer,computers
hospital,hospitals
chapter,chapters
scheme,schemes
theory,theories
property,properties
officer,officers
charge,charges
director,directors
approach,approaches
chance,chances
application,applications
top,tops
amount,amounts
son,sons
operation,operations
opportunity,opportunities
leader,leaders
look,looks
share,shares
production,productions
firm,firms
picture,pictures
source,sources
security,securities
contract,contracts
agreement,agreements
site,sites
labour,labours
